file,unsure_boxes,known_boxes,candidate_classes,source
b4fbffc74371_734cfd902cc449f3a0841d2d2e98e97c_137282729_6939013912838.jpg,9,0,aromatic orange,ouo_final\bitters\aromatic\734cfd902cc449f3a0841d2d2e98e97c_137282729_693901391283826_8512554875105437209_n_1691735941460.jpg
8d5b6fff9d2c_feac2b4185e04d4abbedec9c90e55767_17076319_14567213776738.jpg,9,0,chartreusegreen chartreuseyellow,ouo_final\liqueur\chartreusegreen\feac2b4185e04d4abbedec9c90e55767_17076319_1456721377673829_5532906716158492672_n_1691735943203.jpg
9ddec36ccbad_0104262863836765413_1691735943494.jpg,9,0,hpnotiq jagermeister,ouo_final\liqueur\hpnotiq\0104262863836765413_1691735943494.jpg
2a1481d0bcb9_6694346977489348332_1691735942360.jpg,8,0,gordons plantationoriginaldark wyborowa,ouo_final\darkrum\plantationoriginaldark\6694346977489348332_1691735942360.jpg
3016f674ed4c_20d78cdf6341430ca6117325d082e284_271123412_4419444181499.jpg,7,0,midori wildturkey_8y,ouo_final\bourbonwhiskey\wildturkey_8y\20d78cdf6341430ca6117325d082e284_271123412_4419444181499029_1336157814283068474_n_1691735942161.jpg
0968f7aaf5a4_6e59473036584f13905778a83e52a031_123047871_1931040822541.jpg,7,0,skyy triplesec,ouo_final\liqueur\triplesec\6e59473036584f13905778a83e52a031_123047871_193104082254114_6572431794563818053_n_1691735943930.jpg
7f33e33a8f1f_2522279133270256982_1691735942639.jpg,6,0,bacardi_gold bacardi_white,ouo_final\goldrum\bacardicartaoro\2522279133270256982_1691735942639.jpg
b5e330c5ca34_6c6be5d4c7a748909890e54d71d9ca50_340311508_2370645221535.jpg,5,0,aromatic campari,ouo_final\bitters\aromatic\6c6be5d4c7a748909890e54d71d9ca50_340311508_237064522153576_8763667473347064484_n_1691735941457.jpg
06d5e32ba0f0_ba8f97922c8148e393d8c318af47fb03_121428873_9718647832941.jpg,5,0,cinzanorosso tanqueray,ouo_final\gin\tanqueray\ba8f97922c8148e393d8c318af47fb03_121428873_971864783294127_2957181589363062072_n_1691735942594.jpg
a6a8d3b48de2_31e89dc3f6044118a33b61437a291dae_278216691_9787283494515.jpg,5,0,cointreau tanquerayten,ouo_final\gin\tanquerayten\31e89dc3f6044118a33b61437a291dae_278216691_978728349451554_7860216998447569007_n_1691735942613.jpg
9ed8a8c99cc3_7f6a85350c4046acb2e7b15804d2f057_42578635_25837670820130.jpg,5,0,bushmillsoriginal jameson,ouo_final\irishwhiskey\bushmillsoriginal\7f6a85350c4046acb2e7b15804d2f057_42578635_258376708201301_7086812731462644359_n_1691735942809.jpg
a452b8f97888_1__1691735943261.jpg,5,0,cointreau disaronno grandmarnier,ouo_final\liqueur\cointreau\다운로드 (1)_1691735943261.jpg
6a01282a6e91_8529075350432472912_1__1691735943270.jpg,5,0,creamdebanana limoncello sloegin,ouo_final\liqueur\creamdebanana\8529075350432472912 (1)_1691735943270.jpg
a23e5a28dbb8_ce4bf965706d497ca519a839e89e6e0f_91516302_14972528037725.jpg,5,0,disaronno peachtree,ouo_final\liqueur\disaronno\ce4bf965706d497ca519a839e89e6e0f_91516302_1497252803772507_9113115995861263071_n_1691735943328.jpg
2d05547d9521_4881192933476362503_1691735943615.jpg,5,0,kwaifeh sloegin,ouo_final\liqueur\kwaifeh\4881192933476362503_1691735943615.jpg
56c8cf5ce9a0_d9484dc2ff0849c9a330ebca3a87b3c0_354774588_1349640882285.jpg,5,0,extradry martinirosso,ouo_final\vermouth\extradry\d9484dc2ff0849c9a330ebca3a87b3c0_354774588_1349640882285710_4903036361007260889_n_1691735944101.jpg
86e1eb6c0725_92d660f89f53450895b2f7e516c89f21_243182722_1529245794076.jpg,4,0,ballantinefinest johnniered,ouo_final\blendedwhiskey\ballantinefinest\92d660f89f53450895b2f7e516c89f21_243182722_1529245794076361_175144546121278021_n_1691735941580.jpg
685d62c75fe5_177e6e03f2904fd78092238d5a48f877_159299114_4294161316542.jpg,4,0,buffalotrace johnbarrreserve johnnieblack,ouo_final\blendedwhiskey\johnbarrreserve\177e6e03f2904fd78092238d5a48f877_159299114_429416131654237_4072467423824666120_n_1691735941770.jpg
189d356e301e_6acdd2c0cbb345be856e4b33bc69c432_73271349_56475883428453.jpg,4,0,johnnieblack johnniered,ouo_final\blendedwhiskey\johnnieblack\6acdd2c0cbb345be856e4b33bc69c432_73271349_564758834284537_258318527274822651_n_1691735941845.jpg
9b69689bcce7_0bd22fd848d845cba0e5ad24489d02e0_140372149_1009486566243.jpg,4,0,beefeater extradry josecuervoespecial,ouo_final\gin\beefeater\0bd22fd848d845cba0e5ad24489d02e0_140372149_1009486566243690_2514311910608616720_n_1691735942370.jpg
e7f88cedb717_5872802791565403882_1__1691735942515.jpg,4,0,campari gordons,ouo_final\gin\gordons\5872802791565403882 (1)_1691735942515.jpg
014baa09acf8_153e410d0c5a41768ca95f1b62422183_185757192_3093449739052.jpg,4,0,cassis malibu,ouo_final\liqueur\cassis\153e410d0c5a41768ca95f1b62422183_185757192_309344973905278_8525893789098397138_n_1691735943117.jpg
b99dfeb792c9_4776644346461471003_1__1691735943240.jpg,4,0,cointreau jagermeister,ouo_final\liqueur\cointreau\4776644346461471003 (1)_1691735943240.jpg
901cdc80cf65_7470048667903492003_1691735943250.jpg,4,0,cointreau grandmarnier,ouo_final\liqueur\cointreau\7470048667903492003_1691735943250.jpg
a36e3d2071de_9544676089312398513_1__1691735943579.jpg,4,0,kahlua midori,ouo_final\liqueur\kahlua\9544676089312398513 (1)_1691735943579.jpg
0b180334ae87_4f14140382b84448a195c4a3421e1160_302191213_5067123679363.jpg,3,0,aromatic wildturkey wildturkey_8y,ouo_final\bitters\aromatic\4f14140382b84448a195c4a3421e1160_302191213_506712367936396_6495659420486912813_n_1691735941450.jpg
08ebb147598d_478221b4f00e435eacd63dbd81eaf4ed_273846426_2710178617789.jpg,3,0,johnnieblack wildturkey_bourbon,ouo_final\blendedwhiskey\johnnieblack\478221b4f00e435eacd63dbd81eaf4ed_273846426_271017861778989_2965207232876330896_n_1691735941836.jpg
6421803a82cc_5728247798117487513_2__1691735941841.jpg,3,0,johnnieblack johnniered,ouo_final\blendedwhiskey\johnnieblack\5728247798117487513 (2)_1691735941841.jpg
df839f3db276_d27dafd5e9fa40f8b38ee555f2538cff_118738425_1626106688013.jpg,3,0,benchmark makersmark wildturkey_101,ouo_final\bourbonwhiskey\benchmark\d27dafd5e9fa40f8b38ee555f2538cff_118738425_162610668801316_8514376043295616091_n_1691735941926.jpg
910645887895_6558dd2439864f1dad894fbf2c2c35db_275478648_3456003309110.jpg,3,0,baileys evanwilliams malibu,ouo_final\bourbonwhiskey\evanwilliams\6558dd2439864f1dad894fbf2c2c35db_275478648_345600330911045_8973974787952961129_n_1691735941966.jpg
d4952d0579e2_hennessy_vsop2.jpg,3,0,hennessy_vsop remymartin_vsop,ouo_final\cognac\hennessy_vsop\hennessy_vsop2.jpg
78a1f5c90fb3_52bfcea37f774e57bda6500baf599195_188056796_3170487533427.jpg,3,0,beefeater josecuervoespecial,ouo_final\gin\beefeater\52bfcea37f774e57bda6500baf599195_188056796_317048753342759_624223437964262716_n_1691735942378.jpg
48628384c546_1798344562042814213_1691735942411.jpg,3,0,bombay gilbeysgin tanqueray,ouo_final\gin\bombay\1798344562042814213_1691735942411.jpg
afb5a29c9a16_d4c2068cc7a24f7db0f7aa38906cf37e_184834774_2870641139931.jpg,3,0,gordons malibu,ouo_final\gin\gordons\d4c2068cc7a24f7db0f7aa38906cf37e_184834774_2870641139931696_297748583438207301_n_1691735942527.jpg
29b81d34d98d_bc978ad4e5824f7fb0b7ea897ee59d48_21227025_73421546678589.jpg,3,0,hendricks montealban,ouo_final\gin\hendricks\bc978ad4e5824f7fb0b7ea897ee59d48_21227025_734215466785896_3065335107096150016_n_1691735942556.jpg
94f73df3865c_0041454704244589162_1691735942557.jpg,3,0,tanqueray tanquerayten,ouo_final\gin\tanqueray\0041454704244589162_1691735942557.jpg
1bb2b4f4dd34_6e6aea9a52ce4e80b5bab8ea90da73f2_307650739_1126604961569.jpg,3,0,absinthe agwa jagermeister,ouo_final\liqueur\absinthe\6e6aea9a52ce4e80b5bab8ea90da73f2_307650739_1126604961569776_2081692478691954697_n_1691735942899.jpg
4256c7c9362f_1b68e0a925e84c9c8e903515bc689e51_273980065_1032331055905.jpg,3,0,baileys cremedementhe kahlua,ouo_final\liqueur\baileys\1b68e0a925e84c9c8e903515bc689e51_273980065_103233105590555_3866143958194446848_n_1691735942965.jpg
21272fbde58e_7481478991845430513_1691735942974.jpg,3,0,baileys malibu,ouo_final\liqueur\baileys\7481478991845430513_1691735942974.jpg
2eb99941c5d6_ade5b5aa62f24615b9a28c3ae52b7fe6_64506789_11104032005618.jpg,3,0,chartreusegreen maraschino,ouo_final\liqueur\chartreusegreen\ade5b5aa62f24615b9a28c3ae52b7fe6_64506789_111040320056185_5660264527729515843_n_1691735943189.jpg
f86510937594_7ff16e35f0f9442f8b2824ac3d8c4701_270724266_4182138833439.jpg,2,0,ballantinefinest ballantinemasters,ouo_final\blendedwhiskey\ballantinefinest\7ff16e35f0f9442f8b2824ac3d8c4701_270724266_418213883343911_1083413552067790648_n_1691735941578.jpg
b994b8e95cc5_7b9113205f2f4df1b559140bd97cdc30_130821552_8296935078758.jpg,2,0,famousgrouse johnbarrreserve,ouo_final\blendedwhiskey\famousgrouse\7b9113205f2f4df1b559140bd97cdc30_130821552_829693507875898_7364300199951375590_n_1691735941685.jpg
95352f94f9f0_7107105827562660013_3__1691735941745.jpg,2,0,johnbarrfinest johnbarrreserve,ouo_final\blendedwhiskey\johnbarrfinest\7107105827562660013 (3)_1691735941745.jpg
757dda4977ed_dce4d5ff841b41d0a9cf3f53fb502950_122424219_4912170785017.jpg,2,0,disaronno wildturkey_101,ouo_final\bourbonwhiskey\wildturkey_101proof\dce4d5ff841b41d0a9cf3f53fb502950_122424219_491217078501712_5105527389129196420_n_1691735942094.jpg
64fa08b01c7a_12d44243abe64d63b748c91aa41506d8_277553800_9196398587082.jpg,2,0,beefeater cachaca51,ouo_final\cachaca\cachaca51\12d44243abe64d63b748c91aa41506d8_277553800_919639858708252_1074087186221732603_n_1691735942282.jpg
c15d63173048_7e9da0f260b7447ea0bbadc02d405b0b_311114529_5205064867513.jpg,2,0,beefeater cinzanorosso,ouo_final\gin\beefeater\7e9da0f260b7447ea0bbadc02d405b0b_311114529_520506486751376_1193552682117398138_n_1691735942387.jpg
424de4dbfe80_e035ad5ab22f4882bbb8b4ab82639710_140610495_8934572014654.jpg,2,0,beefeater gordons,ouo_final\gin\beefeater\e035ad5ab22f4882bbb8b4ab82639710_140610495_893457201465465_4399323195905466891_n_1691735942402.jpg
17d5128e589a_5739823788176741492_1691735942548.jpg,2,0,hendricks tanqueray,ouo_final\gin\hendricks\5739823788176741492_1691735942548.jpg
03ddc9feed9e_e608162ff9f0443b91d7a3a1f622a862_233826717_5358857977447.jpg,2,0,amaretto cassis,ouo_final\liqueur\amaretto\e608162ff9f0443b91d7a3a1f622a862_233826717_535885797744709_247734328943747884_n_1691735942926.jpg
040c1624a968_3415cbe0c5b341c9bde9abecba250313_274171027_2831883706056.jpg,2,0,absolutevodka bluecuracao,ouo_final\liqueur\bluecuracao\3415cbe0c5b341c9bde9abecba250313_274171027_283188370605601_2662081956675003486_n_1691735943046.jpg
1b14d9804f20_ab9a5fa680564667a7a8fbc984ffb5d4_277028923_3732272413168.jpg,2,0,bluecuracao josecuervoespecial,ouo_final\liqueur\bluecuracao\ab9a5fa680564667a7a8fbc984ffb5d4_277028923_373227241316802_1081934690858108787_n_1691735943052.jpg
732e54844da0_9bb1425ca5bc443294cf2c567d6bc19c_334633008_5222006400894.jpg,2,0,cremedecacao cremedementhe,ouo_final\liqueur\cremedecacao\9bb1425ca5bc443294cf2c567d6bc19c_334633008_522200640089406_618343441967573857_n_1691735943280.jpg
d0eb83a6e78c_4def76050843444096a6188b634646f4_58733183_10949840014666.jpg,2,0,galliano josecuervoespecial,ouo_final\liqueur\galliano\4def76050843444096a6188b634646f4_58733183_109498400146661_1796492087527164850_n_1691735943426.jpg
bd72b4b863d4_0c0dc1571b934bffbef14270b0172321_274887583_9938908612401.jpg,2,0,maraschino plantation3stars,ouo_final\liqueur\maraschino\0c0dc1571b934bffbef14270b0172321_274887583_993890861240177_4501487250400481680_n_1691735943665.jpg
1073b798b127_0ebc5105b76948f5b518ce9c1e9116aa_121037455_4048585075761.jpg,2,0,pucker triplesec,ouo_final\liqueur\pucker\0ebc5105b76948f5b518ce9c1e9116aa_121037455_404858507576156_6026226864158327000_n_1691735943773.jpg
66bc35017dd5_5500766612547318113_1__1691735941452.jpg,1,13,aromatic orange,ouo_final\bitters\aromatic\5500766612547318113 (1)_1691735941452.jpg
b1cfac7b6334_8ffcd9e37cb047fda0a0df22f97d6075_359766825_6376024469178.jpg,1,1,wildturkey wildturkey_101,ouo_final\bourbonwhiskey\wildturkey_101proof_nolabel\8ffcd9e37cb047fda0a0df22f97d6075_359766825_6376024469178435_2420805443667200462_n_1691735942110.jpg
5c23a96ba281_6048706335802924303_4__1691735942645.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\bacardicartaoro\6048706335802924303 (4)_1691735942645.jpg
d6e8a0fc79ea_8433831342820822303_1691735942651.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\bacardicartaoro\8433831342820822303_1691735942651.jpg
ce0230095f76_3701401691996381503_1691735942697.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\captainmorganspicedgold\3701401691996381503_1691735942697.jpg
bebf864c188d_5021443156895888792_1691735942699.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\captainmorganspicedgold\5021443156895888792_1691735942699.jpg
3d86ca477dd2_6499555308828195892_1691735942706.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\captainmorganspicedgold\6499555308828195892_1691735942706.jpg
922cf65a9df6_7024703070792794103_1691735942708.jpg,1,0,bacardi_gold captainmorganspicedgold,ouo_final\goldrum\captainmorganspicedgold\7024703070792794103_1691735942708.jpg
e6241f7479c7_50edead93f7842218a4f661fce026ef2_364275995_8240159623774.jpg,1,0,aperol campari,ouo_final\liqueur\aperol\50edead93f7842218a4f661fce026ef2_364275995_824015962377434_3905368856547567558_n_1691735942935.jpg
639d354d4ab8_323814033_567860428187006_2848661676971144327_n_16917359.jpg,1,0,creamdebanana galliano,ouo_final\liqueur\creamdebanana\323814033_567860428187006_2848661676971144327_n_1691735943263.jpg
01621c172d49_8147559334325917292_1__1691735943738.jpg,1,1,johnnieblack midori,ouo_final\liqueur\midori\8147559334325917292 (1)_1691735943738.jpg
