slug,name,file,title,creator,license,license_url,landing_url
pina-colada,Pina Colada,pina-colada.jpg,File:Pina Colada at Aruba.jpg,DDJJ,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Pina_Colada_at_Aruba.jpg
pisco-punch,Pisco Punch,pisco-punch.jpg,File:Pisco Punch.jpg,Ministerio de Relaciones Exteriores,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Pisco_Punch.jpg
pisco-sour,Pisco Sour,pisco-sour.jpg,File:Pisco Sour Cocktail.jpg,Bart Everson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Pisco_Sour_Cocktail.jpg
planters-punch,Planters Punch,planters-punch.jpg,File:Planters Punch 1.jpg,Achim Schleuning (E-Mail: comander02_de@yahoo.de),CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,https://commons.wikimedia.org/wiki/File:Planters_Punch_1.jpg
porn-star-martini,Porn Star Martini,porn-star-martini.jpg,File:Porn star martini cocktail.jpg,Ben Sutherland,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Porn_star_martini_cocktail.jpg
porto-flip,Porto Flip,porto-flip.jpg,File:Porto Flip.jpg,Stuart Webster,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Porto_Flip.jpg
rabo-de-galo,Rabo de Galo,rabo-de-galo.jpg,File:Rabo de Galo (1510270427).jpg,"Stella Dauer from São Bernardo do Campo, Brasil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Rabo_de_Galo_(1510270427).jpg
ramos-fizz,Ramos Fizz,ramos-fizz.jpg,File:Ramos Gin Fizz at The Sazerac Bar.jpg,AGnias47,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Ramos_Gin_Fizz_at_The_Sazerac_Bar.jpg
remember-the-maine,Remember the Maine,remember-the-maine.jpg,File:Remember the Maine - Cocktail.jpg,Adrian Scottow,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Remember_the_Maine_-_Cocktail.jpg
rusty-nail,Rusty Nail,rusty-nail.jpg,File:Rusty Nail cocktail.jpg,Craberoid,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Rusty_Nail_cocktail.jpg
sazerac,Sazerac,sazerac.jpg,File:SazeracRooseveltNOLA1July2009.JPG,Infrogmation of New Orleans,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:SazeracRooseveltNOLA1July2009.JPG
sea-breeze,Sea Breeze,sea-breeze.jpg,File:Hetman Sahaidachnyi Exercise Sea Breeze 2015.jpg,Navy Media Content Services,Public domain,,https://commons.wikimedia.org/wiki/File:Hetman_Sahaidachnyi_Exercise_Sea_Breeze_2015.jpg
sex-on-the-beach,Sex on the Beach,sex-on-the-beach.jpg,File:Sex on the beach in Ohrid.jpg,Sandor Diego Weijn,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Sex_on_the_beach_in_Ohrid.jpg
sherry-cobbler,Sherry Cobbler,sherry-cobbler.jpg,File:Sherry cobbler.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Sherry_cobbler.jpg
sidecar,Sidecar,sidecar.jpg,File:Sidecar-cocktail.jpg,"Evan Swigart from Chicago, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Sidecar-cocktail.jpg
singapore-sling,Singapore Sling,singapore-sling.jpg,File:Singapore Sling Ingredients.JPG,Achim Schleuning (E-Mail: comander02_de@yahoo.de),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Singapore_Sling_Ingredients.JPG
south-side,South Side,south-side.jpg,File:Tales of the Cocktail - Death in the South Pacific.jpg,Bart Everson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Tales_of_the_Cocktail_-_Death_in_the_South_Pacific.jpg
spicy-fifty,Spicy Fifty,spicy-fifty.jpg,File:Spicy Fifty.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Spicy_Fifty.jpg
spritz,Spritz,spritz.jpg,File:Aperol Spritz - Santa Ynez Kitchen - Sarah Stierch.jpg,Missvain,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Aperol_Spritz_-_Santa_Ynez_Kitchen_-_Sarah_Stierch.jpg
suffering-bastard,Suffering Bastard,suffering-bastard.jpg,File:Suffering Bastard Cocktail.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Suffering_Bastard_Cocktail.jpg
tequila-sunrise,Tequila Sunrise,tequila-sunrise.jpg,File:Tequila Sunrise 2013.JPG,stavros1,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Tequila_Sunrise_2013.JPG
three-dots-and-a-dash,Three Dots and a Dash,three-dots-and-a-dash.jpg,File:Three Dots and a Dash cocktail.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Three_Dots_and_a_Dash_cocktail.jpg
tipperary,Tipperary,tipperary.jpg,File:Tipperary.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Tipperary.jpg
tommys-margarita,Tommy’s Margarita,tommys-margarita.jpg,File:TommysMargarita.jpg,Rick Audet,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:TommysMargarita.jpg
trinidad-sour,Trinidad Sour,trinidad-sour.jpg,File:VTR - Trinidad Sour (18045674468).jpg,Edsel Little,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:VTR_-_Trinidad_Sour_(18045674468).jpg
tuxedo,Tuxedo,tuxedo.jpg,File:Tuxedo No. 2 cocktail.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Tuxedo_No._2_cocktail.jpg
whiskey-sour,Whiskey Sour,whiskey-sour.jpg,File:A whiskey sour in the hand.jpg,".mw-parser-output .messagebox{margin:4px 0;width:auto;border-collapse:collapse;border:2px solid var(--border-color-progressive,#6485d1);background-color:var(--background-color-neutral-subtle,#fbfcff);color:var(--color-base,#202122);box-sizing:border-box;border-inline-start-width:8px}.mw-parser-output .messagebox.mbox-small{font-size:88%;line-height:1.25em}.mw-parser-output .mbox-warning,.mw-parser-output .mbox-speedy{border:2px solid var(--border-color-error,#b22222);background:var(--background-color-error-subtle,#ffdbdb);border-inline-start-width:8px}.mw-parser-output .mbox-serious,.mw-parser-output .mbox-delete,.mw-parser-output .mbox-stop{border:2px solid var(--border-color-error,#b22222);border-inline-start-width:8px}.mw-parser-output .mbox-issue,.mw-parser-output .mbox-content{border:2px solid #f28500;background:var(--background-color-warning-subtle,#ffe);border-inline-start-width:8px}.mw-parser-output .mbox-query,.mw-parser-output .mbox-style{border:2px solid #f4c430;background:var(--background-color-warning-subtle,#ffe);border-inline-start-width:8px}.mw-parser-output .mbox-shit{border:2px solid #960;border-inline-start-width:8px}.mw-parser-output .mbox-license{border:2px solid #88a;border-inline-start-width:initial}.mw-parser-output .mbox-legal{border:2px solid var(--border-color-notice,#666);background:var(--background-color-base,#fff);border-inline-start-width:8px}.mw-parser-output .mbox-honor{border:2px solid #ca3;background:var(--background-color-warning-subtle,#fcf4db);border-inline-start-width:8px}.mw-parser-output .mbox-growth{border:2px solid #8d4;background:var(--background-color-success-subtle,#d5fdf4);border-inline-start-width:8px}.mw-parser-output .mbox-move{border:2px solid #93c;border-inline-start-width:8px}.mw-parser-output .mbox-protection,.mw-parser-output .mbox-message{border:2px solid var(--border-color-base,#aaa);border-inline-start-width:8px}.mw-parser-output .messagebox .mbox-text{border:none;padding:0.25em 0.9em;width:100%}.mw-parser-output .messagebox .mbox-image{border:none;padding-top:2px;padding-bottom:2px;padding-inline-start:0.9em;padding-inline-end:0;text-align:center}.mw-parser-output .messagebox .mbox-imageright{border:none;padding-top:2px;padding-bottom:2px;padding-inline-start:0;padding-inline-end:0.9em;text-align:center}.mw-parser-output .messagebox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .messagebox .mbox-invalid-type{text-align:center}@media(min-width:720px){.mw-parser-output .messagebox{margin:4px 10%}.mw-parser-output .messagebox.mbox-small{clear:right;float:right;margin:4px 0 4px 1em;width:238px}}body.skin--responsive .mw-parser-output table.messagebox img{max-width:none!important}This photograph was modified with permission, and the modified work was authored by ""Will Murray (Willscrlt)"". Refer to the source information to determine the original source from which this work was modified.  Attribution must be given to the author, which includes the author's name, his username in parentheses as shown, and a link to either his Website at http://willmurray.name or his online gallery at http://willmurraymedia.com. The author also appreciates notification if you use his work outside Wikimedia.
 Author of the original image: Dave Smith (cerealfan)",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:A_whiskey_sour_in_the_hand.jpg
white-lady,White Lady,white-lady.jpg,File:White Lady (cocktail).jpg,Momoji3,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:White_Lady_(cocktail).jpg
zombie,Zombie,zombie.jpg,File:Zombie cocktail gianni zottola.jpg,GianniZottola,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Zombie_cocktail_gianni_zottola.jpg
